Date,D1
2013-06-01,3.84925
2013-07-01,3.8659999999999997
2013-08-01,3.9044999999999996
2013-09-01,3.9608
2013-10-01,3.88475
2013-11-01,3.83875
2013-12-01,3.8817999999999997
2014-01-01,3.89325
2014-02-01,3.9835000000000003
2014-03-01,4.0006
2014-04-01,3.96425
2014-05-01,3.94275
2014-06-01,3.9061999999999997
2014-07-01,3.8835
2014-08-01,3.838
2014-09-01,3.7923999999999998
2014-10-01,3.6805
2014-11-01,3.64725
2014-12-01,3.4106
2015-01-01,2.99725
2015-02-01,2.8577500000000002
2015-03-01,2.897
2015-04-01,2.78225
2015-05-01,2.8875
2015-06-01,2.873
2015-07-01,2.78775
2015-08-01,2.5949999999999998
2015-09-01,2.505
2015-10-01,2.51925
2015-11-01,2.4669999999999996
2015-12-01,2.3095
2016-01-01,2.14275
2016-02-01,1.9982
2016-03-01,2.09
2016-04-01,2.1515
2016-05-01,2.3146
2016-06-01,2.4225000000000003
2016-07-01,2.4045
2016-08-01,2.3506
2016-09-01,2.39425
2016-10-01,2.4544
2016-11-01,2.4385
2016-12-01,2.51
2017-01-01,2.5797999999999996
2017-02-01,2.568
2017-03-01,2.5535
2017-04-01,2.5825
2017-05-01,2.5604
2017-06-01,2.5105
2017-07-01,2.4964
2017-08-01,2.5949999999999998
2017-09-01,2.78475
2017-10-01,2.7942
2017-11-01,2.90875
2017-12-01,2.909
2018-01-01,3.0183999999999997
2018-02-01,3.04575
2018-03-01,2.9875
2018-04-01,3.0957999999999997
2018-05-01,3.24375
2018-06-01,3.2527500000000003
2018-07-01,3.2328
2018-08-01,3.21825
2018-09-01,3.26225
2018-10-01,3.3653999999999997
2018-11-01,3.2995
2018-12-01,3.1228000000000002
2019-01-01,2.97975
2019-02-01,2.9965
2019-03-01,3.07625
2019-04-01,3.121
2019-05-01,3.16125
2019-06-01,3.0885
2019-07-01,3.0452
2019-08-01,3.005
2019-09-01,3.0162
2019-10-01,3.053
2019-11-01,3.0687499999999996
2019-12-01,3.0549999999999997
2020-01-01,3.0475
2020-02-01,2.9095
2020-03-01,2.7286
2020-04-01,2.493
2020-05-01,2.39225
2020-06-01,2.408
2020-07-01,2.43375
2020-08-01,2.4292000000000002
2020-09-01,2.4137500000000003
2020-10-01,2.38875
2020-11-01,2.432
2020-12-01,2.58475
2021-01-01,2.6805000000000003
