Name,Address,City,State,State_name,Zip,Sales,Number_emp,Empsiz
TONY'S SEAFOOD,1365 FALL RIVER AVE,SEEKONK,MA,Massachusetts,02771,2310,10,C
PARKER'S MEAT MARKET,22 OLNEY ST,SEEKONK,MA,Massachusetts,02771,2541,11,C
ROCHELLES CONVENIENCE MART,2 OLNEY ST,SEEKONK,MA,Massachusetts,02771,448,2,A
DUNKIN' DONUTS,623 FALL RIVER AVE,SEEKONK,MA,Massachusetts,02771,840,15,C
FOUR TOWN FARM,90 GEORGE ST,SEEKONK,MA,Massachusetts,02771,8880,40,D
DUNKIN' DONUTS,1180 FALL RIVER AVE,SEEKONK,MA,Massachusetts,02771,336,6,B
KRAZY KORNER BAGEL & DELI,23 CIRCLE DR,SEEKONK,MA,Massachusetts,02771,784,14,C
PEPPERIDGE FARM,1397 FALL RIVER AVE,SEEKONK,MA,Massachusetts,02771,284,4,A
CUMBERLAND FARMS,1455 FALL RIVER AVE,SEEKONK,MA,Massachusetts,02771,1568,7,B
QUICK STOP MINI MART,70 MINK ST,SEEKONK,MA,Massachusetts,02771,896,4,A
DUNKIN' DONUTS,1455 FALL RIVER AVE,SEEKONK,MA,Massachusetts,02771,280,5,B
HONEY DEW DONUTS,757 FALL RIVER AVE,SEEKONK,MA,Massachusetts,02771,672,12,C
SIP N DIP,68 MINK ST,SEEKONK,MA,Massachusetts,02771,840,15,C
DUNKIN' DONUTS,125 HIGHLAND AVE,SEEKONK,MA,Massachusetts,02771,280,5,B
SUPER STOP & SHOP,125 HIGHLAND AVE,SEEKONK,MA,Massachusetts,02771,1235,5,B
PERFORMANCE NUTRITION,150 HIGHLAND AVE # 2,SEEKONK,MA,Massachusetts,02771,906,6,B
POPCORN GUYS,49 INDUSTRIAL CT,SEEKONK,MA,Massachusetts,02771,476,4,A
BIOGENICS NUTRITION & TANNING,350 FALL RIVER AVE,SEEKONK,MA,Massachusetts,02771,302,2,A
LINDT FACTORY OUTLET SEEKONK,43 COMMERCE WAY,SEEKONK,MA,Massachusetts,02771,476,4,A
GNC,181 HIGHLAND AVE,SEEKONK,MA,Massachusetts,02771,604,4,A
DUNKIN' DONUTS,4 HIGHLAND AVE,SEEKONK,MA,Massachusetts,02771,952,17,C
REHOBOTH FOOD PANTRY INC,127 MARTIN ST,REHOBOTH,MA,Massachusetts,02769,896,4,A
FAST MART,420 SOMERSET AVE,NORTH DIGHTON,MA,Massachusetts,02764,896,4,A
DUNKIN' DONUTS,420 SOMERSET AVE,NORTH DIGHTON,MA,Massachusetts,02764,728,13,C
CUMBERLAND FARMS,318 COUNTY ST,TAUNTON,MA,Massachusetts,02780,2016,9,B
SUNNY'S CONVENIENCE LLC,100 LAWTON AVE,TAUNTON,MA,Massachusetts,02780,896,4,A
SMART STOP CONVENIENCE STORE,306 WINTHROP ST # 9,TAUNTON,MA,Massachusetts,02780,672,3,A
GNC,2 GALLERIA MALL DR # 157,TAUNTON,MA,Massachusetts,02780,755,5,B
HANNAFORD SUPERMARKET & PHRMCY,255 WARNER BLVD,TAUNTON,MA,Massachusetts,02780,29640,120,F
GIRLIES VARIETY STORES,96 OAK ST,TAUNTON,MA,Massachusetts,02780,448,2,A
DUNKIN' DONUTS,648 COUNTY ST,TAUNTON,MA,Massachusetts,02780,672,12,C
TRUCCHI'S SUPERMARKET,534 COUNTY ST,TAUNTON,MA,Massachusetts,02780,32110,130,F
44 EXPRESS CONVENIENCE STORE,400 WINTHROP ST,TAUNTON,MA,Massachusetts,02780,448,2,A
COUNTRY FARM,285 WINTHROP ST,TAUNTON,MA,Massachusetts,02780,672,3,A
PETE'S MART,370 COUNTY ST,TAUNTON,MA,Massachusetts,02780,896,4,A
DUNKIN' DONUTS,296 WINTHROP ST # 5,TAUNTON,MA,Massachusetts,02780,1568,28,D
DUNKIN' DONUTS,403 WINTHROP ST,TAUNTON,MA,Massachusetts,02780,1064,19,C
SHAW'S SUPERMARKET,260 WINTHROP ST,TAUNTON,MA,Massachusetts,02780,49400,200,F
TOBACCO DISCOUNTS/CONVENIENCE,648 COUNTY ST # 648,TAUNTON,MA,Massachusetts,02780,448,2,A
DUNKIN' DONUTS,983 COUNTY ST,TAUNTON,MA,Massachusetts,02780,280,5,B
STAR FOOD MART,93 1/2 PLAIN ST,TAUNTON,MA,Massachusetts,02780,448,2,A
MARTINEZ MARKET,6 KILMER AVE,TAUNTON,MA,Massachusetts,02780,494,2,A
DUNKIN' DONUTS,2 GALLERIA MALL DR # 218,TAUNTON,MA,Massachusetts,02780,672,12,C
SWEET PALACE,2 GALLERIA MALL DR # 142,TAUNTON,MA,Massachusetts,02780,476,4,A
LINDT & SPRUNGLI USA INC,2 GALLERIA MALL DR,TAUNTON,MA,Massachusetts,02780,476,4,A
WETZEL'S PRETZELS,2 GALLERIA MALL DR # F13,TAUNTON,MA,Massachusetts,02780,112,2,A
VITAMIN WORLD,2 GALLERIA MALL DR # 202,TAUNTON,MA,Massachusetts,02780,755,5,B
XTRA MART,12 WASHINGTON ST,TAUNTON,MA,Massachusetts,02780,896,4,A
ART'S INTERNATIONAL BAKERY II,210 WEIR ST,TAUNTON,MA,Massachusetts,02780,142,2,A
STORE 44,73 WINTHROP ST,TAUNTON,MA,Massachusetts,02780,741,3,A
MERCASO NOVO INC,283 SOMERSET AVE,TAUNTON,MA,Massachusetts,02780,672,3,A
DUNKIN' DONUTS,5 WASHINGTON ST,TAUNTON,MA,Massachusetts,02780,2576,46,D
DUNKIN' DONUTS,185 WEIR ST,TAUNTON,MA,Massachusetts,02780,280,5,B
DE SA FISHMARKET,20 HARRISON AVE,TAUNTON,MA,Massachusetts,02780,462,2,A
DUNKIN' DONUTS,68 S MAIN ST,ASSONET,MA,Massachusetts,02702,728,13,C
DUNKIN' DONUTS,60 S MAIN ST,ASSONET,MA,Massachusetts,02702,1232,22,D
MULLANEY'S COUNTRY CORNER,2050 COUNTY ST,DIGHTON,MA,Massachusetts,02715,448,2,A
GRANDPA'S PLACE,9 S MAIN ST,ASSONET,MA,Massachusetts,02702,896,4,A
MOLLY B CAKES OF DISTINCTION,61 BAYVIEW AVE,BERKLEY,MA,Massachusetts,02779,71,1,A
DUNKIN' DONUTS,447 WAREHAM ST,MIDDLEBORO,MA,Massachusetts,02346,1176,21,D
QUICK PIC MINI MART,1 CHACE RD,EAST FREETOWN,MA,Massachusetts,02717,448,2,A
CANDY JAR & GIFT SHOPPE,1 CHACE RD # 9,EAST FREETOWN,MA,Massachusetts,02717,238,2,A
DUNKIN' DONUTS,1 MASON RD,EAST FREETOWN,MA,Massachusetts,02717,280,5,B
DUNKIN' DONUTS,2 CHACE RD,EAST FREETOWN,MA,Massachusetts,02717,1232,22,D
LLOYD'S MARKET,4 HARTLEY RD,ROCHESTER,MA,Massachusetts,02770,988,4,A
DUNKIN' DONUTS,565 W GROVE ST,MIDDLEBORO,MA,Massachusetts,02346,1400,25,D
STOP & SHOP SUPERMARKET,438 W GROVE ST # A,MIDDLEBORO,MA,Massachusetts,02346,43225,175,F
CONVENIENCE STORE,414 W GROVE ST,MIDDLEBORO,MA,Massachusetts,02346,448,2,A
STOP & SHOP SUPERMARKET,422 W GROVE ST,MIDDLEBORO,MA,Massachusetts,02346,24700,100,F
DUNKIN' DONUTS,47 HARDING ST,MIDDLEBORO,MA,Massachusetts,02346,560,10,C
CHAVES FRUIT & PRODUCE,121 TANIA DR,EAST TAUNTON,MA,Massachusetts,02718,444,2,A
FARMER'S OUTLET,255 CAPE HWY,EAST TAUNTON,MA,Massachusetts,02718,1110,5,B
HONEY DEW DONUTS,245 CAPE HWY,EAST TAUNTON,MA,Massachusetts,02718,336,6,B
POLAND SPRING WATER,375 PARAMOUNT DR # 3,RAYNHAM,MA,Massachusetts,02767,24150,210,F
NESTLE WATERS NORTH AMERICA,375 PARAMOUNT DR,RAYNHAM,MA,Massachusetts,02767,34500,300,G
DUNKIN' DONUTS,128 MYRICKS ST # 1,BERKLEY,MA,Massachusetts,02779,1120,20,D
SARDINHA FAMILY TRUST,128 MYRICKS ST,BERKLEY,MA,Massachusetts,02779,168,3,A
AMAZING CAKES,54 MAIN ST # 12,LAKEVILLE,MA,Massachusetts,02347,71,1,A
DUNKIN' DONUTS,330 BEDFORD ST # 1,LAKEVILLE,MA,Massachusetts,02347,1176,21,D
DUNKIN' DONUTS,1 E GROVE ST,MIDDLEBORO,MA,Massachusetts,02346,1624,29,D
MIDDLESBORO DONUTS INC,3 E GROVE ST,MIDDLEBORO,MA,Massachusetts,02346,112,2,A
MIKE CARVER FRESH SEAFOOD MKT,10 STATION ST,MIDDLEBORO,MA,Massachusetts,02346,231,1,A
SOUTH COAST CONEYS,10 MERCHANTS WAY # F,MIDDLEBORO,MA,Massachusetts,02346,247,1,A
HANNAFORD SUPERMARKET & PHRMCY,8 MERCHANTS WAY,MIDDLEBORO,MA,Massachusetts,02346,24700,100,F
VILLAGE MARKET,208 WAREHAM ST,MIDDLEBORO,MA,Massachusetts,02346,3458,14,C
CUMBERLAND FARMS,200 CENTRE ST,MIDDLEBORO,MA,Massachusetts,02346,1792,8,B
VERONICA'S TREATS,31 W GROVE ST,MIDDLEBORO,MA,Massachusetts,02346,852,12,C
CUMBERLAND FARMS,87 E GROVE ST,MIDDLEBORO,MA,Massachusetts,02346,2240,10,C
HONEY DEW DONUTS,150 S MAIN ST,MIDDLEBORO,MA,Massachusetts,02346,504,9,B
HONEY DEW DONUTS,57 CENTER AVE,MIDDLEBORO,MA,Massachusetts,02346,616,11,C
NATURES PANTRY,69 MAIN ST # 5,LAKEVILLE,MA,Massachusetts,02347,151,1,A
DUNKIN' DONUTS,263 MAIN ST,FOXBORO,MA,Massachusetts,02035,280,5,B
JBM,125 WASHINGTON ST # 4,FOXBORO,MA,Massachusetts,02035,920,8,B
DUNKIN' DONUTS,221 PATRIOT PL,FOXBORO,MA,Massachusetts,02035,280,5,B
GODIVA CHOCOLATIER,225 PATRIOT PL,FOXBORO,MA,Massachusetts,02035,833,7,B
HONEY'S CAFE & BAKERY,14 NORTH ST,MEDFIELD,MA,Massachusetts,02052,345,3,A
CUMBERLAND FARMS,560 MAIN ST,MEDFIELD,MA,Massachusetts,02052,2016,9,B
MEDFIELD SEAFOODS,24 NORTH ST,MEDFIELD,MA,Massachusetts,02052,1848,8,B
TEDESCHI FOOD SHOPS,206 DEDHAM ST,NORFOLK,MA,Massachusetts,02056,1120,5,B
SHAKLEE DISTRIBUTOR,48 FISKE ST,HOLLISTON,MA,Massachusetts,01746,151,1,A
SEA STAR SEAFOOD CORP,5 KUNIHOLM DR,HOLLISTON,MA,Massachusetts,01746,462,2,A
ON THE RUN,815 WASHINGTON ST,HOLLISTON,MA,Massachusetts,01746,1568,7,B
CANDY COTTAGE,841 WASHINGTON ST # 5,HOLLISTON,MA,Massachusetts,01746,119,1,A
COUNTRY FARMS,429 WASHINGTON ST,HOLLISTON,MA,Massachusetts,01746,1344,6,B
BLACKSTONE PARK'N SHOP,2 MAIN ST,BLACKSTONE,MA,Massachusetts,01504,22230,90,E
BETTY'S DONUTS & COFFEE SHOP,3 MAIN ST # 1,BLACKSTONE,MA,Massachusetts,01504,168,3,A
DUNKIN' DONUTS,2 MAIN ST # 4,BLACKSTONE,MA,Massachusetts,01504,1400,25,D
FAMILY GROCER,202 MAIN ST,BLACKSTONE,MA,Massachusetts,01504,741,3,A
WHITE HEN PANTRY,114 MAIN ST # 3,BLACKSTONE,MA,Massachusetts,01504,1568,7,B
XTRA MART,674 QUAKER HWY,UXBRIDGE,MA,Massachusetts,01569,1120,5,B
CUMBERLAND FARMS,26 DOUGLAS ST,UXBRIDGE,MA,Massachusetts,01569,1344,6,B
DUNKIN' DONUTS,20 PULASKI BLVD,BELLINGHAM,MA,Massachusetts,02019,1120,20,D
STOP & SHOP SUPERMARKET,70 PULASKI BLVD,BELLINGHAM,MA,Massachusetts,02019,24700,100,F
A JS MINI MARKET,137 PULASKI BLVD,BELLINGHAM,MA,Massachusetts,02019,448,2,A
7-ELEVEN,417 PULASKI BLVD,BELLINGHAM,MA,Massachusetts,02019,1792,8,B
SUPER STOP & SHOP,70 PULASKI BLVD,BELLINGHAM,MA,Massachusetts,02019,1482,6,B
HILLTOP FARMS,201 PULASKI BLVD,BELLINGHAM,MA,Massachusetts,02019,4032,18,C
MILESTONES ULTIMATE HOTDOGS,11 S MAIN ST,UXBRIDGE,MA,Massachusetts,01569,1976,8,B
JUMBO DONUTS,5 DOUGLAS ST,UXBRIDGE,MA,Massachusetts,01569,840,15,C
CHARLIE'S VARIETY,30 DOUGLAS ST,UXBRIDGE,MA,Massachusetts,01569,247,1,A
VICTORY SUPERMARKETS & PHRMCS,158 N MAIN ST,UXBRIDGE,MA,Massachusetts,01569,988,4,A
DUNKIN' DONUTS,158 N MAIN ST,UXBRIDGE,MA,Massachusetts,01569,840,15,C
HANNAFORD SUPERMARKET & PHRMCY,144 N MAIN ST,UXBRIDGE,MA,Massachusetts,01569,61750,250,G
CELLAR SOOPER,106 PROVIDENCE RD,WHITINSVILLE,MA,Massachusetts,01588,1235,5,B
AMERICAN FOOD EQUIPMENT,1A LANDING LN,HOPEDALE,MA,Massachusetts,01747,494,2,A
BOSTON COMMON COFFEE CO,1 CONDON WAY # 1E,HOPEDALE,MA,Massachusetts,01747,115,1,A
GREEN MOUNTAIN CHOCOLATE,1 ROSENFELD DR,HOPEDALE,MA,Massachusetts,01747,476,4,A
DUNKIN' DONUTS,144 HARTFORD AVE,HOPEDALE,MA,Massachusetts,01747,280,5,B
HOPEDALE MART LLC,404 S MAIN ST,HOPEDALE,MA,Massachusetts,01747,896,4,A
SUNNY FARMS,1 CAPE RD,MENDON,MA,Massachusetts,01756,448,2,A
DUNKIN' DONUTS,30 LACKEY DAM RD,DOUGLAS,MA,Massachusetts,01516,1960,35,D
DUNKIN' DONUTS,1144 PROVIDENCE RD,NORTHBRIDGE,MA,Massachusetts,01534,280,5,B
DUNKIN' DONUTS,1083 PROVIDENCE RD,WHITINSVILLE,MA,Massachusetts,01588,1960,35,D
NORTH MAIN MINI MART,206 N MAIN ST,WHITINSVILLE,MA,Massachusetts,01588,224,1,A
JUMBO DONUTS,1115 PROVIDENCE RD,WHITINSVILLE,MA,Massachusetts,01588,728,13,C
SHAW'S SUPERMARKET,1177 PROVIDENCE RD,WHITINSVILLE,MA,Massachusetts,01588,39520,160,F
CUMBERLAND FARMS,16 UPTON ST,GRAFTON,MA,Massachusetts,01519,1344,6,B
CUMBERLAND FARMS,316 WORCESTER,GRAFTON,MA,Massachusetts,01519,1792,8,B
FOPPEMA'S FARM,1605 HILL ST,NORTHBRIDGE,MA,Massachusetts,01534,2442,11,C
GARY'S VARIETY & SPIRITS,2201 PROVIDENCE RD,NORTHBRIDGE,MA,Massachusetts,01534,494,2,A
481 YOGI CONVENIENCE STORE,218 CHURCH AVE,NORTHBRIDGE,MA,Massachusetts,01534,448,2,A
ROMEYS GOURMET,79 WORCESTER ST,NORTH GRAFTON,MA,Massachusetts,01536,575,5,B
STOP & SHOP,100 WORCESTER ST # 1,NORTH GRAFTON,MA,Massachusetts,01536,988,4,A
STOP & SHOP FLORIST,100 WORCESTER ST,NORTH GRAFTON,MA,Massachusetts,01536,988,4,A
DUNKIN' DONUTS,72 WORCESTER ST,NORTH GRAFTON,MA,Massachusetts,01536,1064,19,C
XTRA MART,87 WORCESTER ST,NORTH GRAFTON,MA,Massachusetts,01536,1120,5,B
VILLAGE DAIRY,167 MAIN ST,SOUTH GRAFTON,MA,Massachusetts,01560,448,2,A
CUMBERLAND FARMS,2 MAIN ST,SOUTH GRAFTON,MA,Massachusetts,01560,1792,8,B
DUNKIN' DONUTS,10 HARTFORD AVE N,UPTON,MA,Massachusetts,01568,1288,23,D
LITTLE COFFEE BEAN,113 MAIN ST,UPTON,MA,Massachusetts,01568,112,2,A
NECDS,91 W MAIN ST,HOPKINTON,MA,Massachusetts,01748,896,4,A
DUNKIN' DONUTS,76 SOUTH ST,HOPKINTON,MA,Massachusetts,01748,952,17,C
DUNKIN' DONUTS,92 W MAIN ST,HOPKINTON,MA,Massachusetts,01748,1344,24,D
COUNTRY FARMS,3 CEDAR ST,HOPKINTON,MA,Massachusetts,01748,448,2,A
GOLDEN SPOON,85 W MAIN ST,HOPKINTON,MA,Massachusetts,01748,3450,30,D
CUMBERLAND FARMS,91 W MAIN ST # 93,HOPKINTON,MA,Massachusetts,01748,2688,12,C
ON THE RUN,92 W MAIN ST,HOPKINTON,MA,Massachusetts,01748,672,3,A
COLELLA'S SUPERMARKET,61 MAIN ST,HOPKINTON,MA,Massachusetts,01748,16796,68,E
BOSTON MAURICIO CORP,7 CAMP ST,MILFORD,MA,Massachusetts,01757,460,4,A
SUPER STOP & SHOP,196 E MAIN ST,MILFORD,MA,Massachusetts,01757,49400,200,F
PERFORMANCE NUTRITION,196 E MAIN ST # 7B,MILFORD,MA,Massachusetts,01757,302,2,A
BRONX BAGEL,196 E MAIN ST # 24,MILFORD,MA,Massachusetts,01757,336,6,B
PURCHASE STREET MARKET INC,89 PURCHASE ST,MILFORD,MA,Massachusetts,01757,988,4,A
DUNKIN' DONUTS,350 E MAIN ST # 3,MILFORD,MA,Massachusetts,01757,1120,20,D
PETER'S MARKET,75 PURCHASE ST,MILFORD,MA,Massachusetts,01757,494,2,A
DUNKIN' DONUTS,13 MEDWAY RD,MILFORD,MA,Massachusetts,01757,1120,20,D
CASA DE CARNES,206 E MAIN ST,MILFORD,MA,Massachusetts,01757,693,3,A
HANNAFORD SUPERMARKET & PHRMCY,7 MEDWAY RD,MILFORD,MA,Massachusetts,01757,32110,130,F
BELMONT SPRINGS WATER,,MILFORD,MA,Massachusetts,01757,460,4,A
DUNKIN' DONUTS,4 UXBRIDGE RD,MENDON,MA,Massachusetts,01756,1680,30,D
DB MART,ROUTE 16,MENDON,MA,Massachusetts,01756,988,4,A
GENERAL STORE,32 HASTINGS ST # 12,MENDON,MA,Massachusetts,01756,1235,5,B
BOUYEA-FASSETTS BAKERY OUTLET,91 MEDWAY RD # 16,MILFORD,MA,Massachusetts,01757,213,3,A
CEDAR STREET MARKET,100 E MAIN ST,MILFORD,MA,Massachusetts,01757,896,4,A
EDDY'S MINI MART,100 E MAIN ST,MILFORD,MA,Massachusetts,01757,896,4,A
MILFORD DONUTS III INC,31 MAIN ST,MILFORD,MA,Massachusetts,01757,560,10,C
SAM'S SERVICE STATION,28 MAIN ST,MILFORD,MA,Massachusetts,01757,448,2,A
OLIVA'S INC MARKET & CATERING,83 1/2 E MAIN ST,MILFORD,MA,Massachusetts,01757,4940,20,D
MILFORD DONUTS II INC,160 S MAIN ST,MILFORD,MA,Massachusetts,01757,112,2,A
DUNKIN' DONUTS,31 MAIN ST,MILFORD,MA,Massachusetts,01757,1680,30,D
MAGIC OF CAKES BY FELICE,194 WEST ST # 7,MILFORD,MA,Massachusetts,01757,142,2,A
ARCOS MARKET,34 MAIN ST,MILFORD,MA,Massachusetts,01757,494,2,A
ZEN BAKERY,146 S MAIN ST,MILFORD,MA,Massachusetts,01757,284,4,A
MILFORD MINI MART,194 WEST ST # 2,MILFORD,MA,Massachusetts,01757,672,3,A
HONEY DEW DONUTS,140 S MAIN ST,MILFORD,MA,Massachusetts,01757,840,15,C
DUNKIN' DONUTS,146 S MAIN ST # 1,MILFORD,MA,Massachusetts,01757,1848,33,D
MAIN STREET COFFEE CO,160 BEAVER ST,MILFORD,MA,Massachusetts,01757,230,2,A
LITTLE WHITE MARKET & CATERING,5 DEPOT ST,HOPEDALE,MA,Massachusetts,01747,494,2,A
AMELIA'S ASIAN VARIETY,161 MAIN ST,MILFORD,MA,Massachusetts,01757,896,4,A
TEDESCHI FOOD SHOPS,49 1/2 MAIN ST,MILFORD,MA,Massachusetts,01757,1568,7,B
CASA NOVA MARKET,102 CENTRAL ST,MILFORD,MA,Massachusetts,01757,494,2,A
CENTRAL STREET MARKET,102 CENTRAL ST,MILFORD,MA,Massachusetts,01757,494,2,A
SHAW'S SUPERMARKET,1 PROSPECT ST,MILFORD,MA,Massachusetts,01757,40755,165,F
QUICK MART,58 S MAIN ST,MILFORD,MA,Massachusetts,01757,448,2,A
CHARLIE'S MARKET,36 SCHOOL ST,MILFORD,MA,Massachusetts,01757,494,2,A
HONEY DEW DONUTS,118 PROSPECT ST,MILFORD,MA,Massachusetts,01757,560,10,C
ISABELLE'S,335 MAIN ST,MILFORD,MA,Massachusetts,01757,224,1,A
CAPTAIN'S QUARTERS SEAFOODS,15 CUNNIFF AVE,MILFORD,MA,Massachusetts,01757,462,2,A
RAY & DICK'S BAKERY,20 EXCHANGE ST,MILFORD,MA,Massachusetts,01757,355,5,B
MAIN STREET MARKET,315 MAIN ST,MILFORD,MA,Massachusetts,01757,693,3,A
PADARIA BRASIL BAKERY,173 MAIN ST,MILFORD,MA,Massachusetts,01757,213,3,A
VALE DO ACO,132 MAIN ST,MILFORD,MA,Massachusetts,01757,462,2,A
DB MART,804 POND ST,FRANKLIN,MA,Massachusetts,02038,896,4,A
NONNIE ROSES BAKERY,357 UNION ST,FRANKLIN,MA,Massachusetts,02038,71,1,A
MEAT MARKET,390 KING ST,FRANKLIN,MA,Massachusetts,02038,693,3,A
WHITE HEN PANTRY,20 W CENTRAL ST # 4,FRANKLIN,MA,Massachusetts,02038,1344,6,B
FERRARA'S MARKET,20 W CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,247,1,A
DUNKIN' DONUTS,W CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,280,5,B
OLD GOLD CONVENIENCE STORE,326 UNION ST,FRANKLIN,MA,Massachusetts,02038,448,2,A
CUMBERLAND FARMS,126 MAIN ST,MEDWAY,MA,Massachusetts,02053,1120,5,B
SWEET POTATO,131 VILLAGE ST,MEDWAY,MA,Massachusetts,02053,494,2,A
HONEYDEW DOUGHNUTS,213 E CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,728,13,C
STAR MARKET,221 E CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,1482,6,B
SHAW,255 E CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,988,4,A
SHAW'S SUPERMARKET,255 E CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,37050,150,F
SUPER STOP & SHOP,140 W CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,1235,5,B
DUNKIN' DONUTS,140 MEDWAY RD,MILFORD,MA,Massachusetts,01757,728,13,C
PANDOLFI'S FINE CHOCOLATES,40 N MAIN ST,BELLINGHAM,MA,Massachusetts,02019,119,1,A
CUMBERLAND FARMS,459 HARTFORD AVE,BELLINGHAM,MA,Massachusetts,02019,1792,8,B
MARKET BASKET,274 HARTFORD AVE,BELLINGHAM,MA,Massachusetts,02019,86450,350,G
WHOLE FOODS MARKET,255 HARTFORD AVE,BELLINGHAM,MA,Massachusetts,02019,37050,150,F
DUNKIN' DONUTS,189 HARTFORD AVE,BELLINGHAM,MA,Massachusetts,02019,1456,26,D
K C SPECIALIZED BASKETS INC,468 HARTFORD AVE,BELLINGHAM,MA,Massachusetts,02019,357,3,A
HONEY DEW DONUTS,19 N MAIN ST,BELLINGHAM,MA,Massachusetts,02019,392,7,B
BELLINGHAM GROCERY & PACKAGE,19 N MAIN ST,BELLINGHAM,MA,Massachusetts,02019,448,2,A
DUNKIN' DONUTS,300 HARTFORD AVE,BELLINGHAM,MA,Massachusetts,02019,280,5,B
DUNKIN' DONUTS,207 MECHANIC ST,BELLINGHAM,MA,Massachusetts,02019,1120,20,D
LI'L GENERAL STORE,61 S MAIN ST,BELLINGHAM,MA,Massachusetts,02019,2470,10,C
DINO'S BAKERY,191 MECHANIC ST,BELLINGHAM,MA,Massachusetts,02019,284,4,A
DUNKIN' DONUTS,150 DEPOT ST,BELLINGHAM,MA,Massachusetts,02019,280,5,B
DUNKIN' DONUTS,42 SUMMER ST,MEDWAY,MA,Massachusetts,02053,1288,23,D
SUMMIT DONUTS INC,42 SUMMER ST,MEDWAY,MA,Massachusetts,02053,112,2,A
TEDESCHI FOOD SHOPS,533 W CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,2240,10,C
ELIZABETH'S BAGELS & MORE,456 W CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,840,15,C
GNC,135 FRANKLIN VILLAGE DR # 200,FRANKLIN,MA,Massachusetts,02038,755,5,B
DUNKIN' DONUTS,541 W CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,2016,36,D
MEAT HOUSE,365 W CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,693,3,A
HONEY DEW DONUTS,405 W CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,952,17,C
MC KINNIE'S ANALYTICAL WATER,,FRANKLIN,MA,Massachusetts,02038,460,4,A
DACEY'S MARKET,345 LINCOLN ST,FRANKLIN,MA,Massachusetts,02038,247,1,A
ANNE'S COUNTRY MARKET,451 W CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,448,2,A
GREEN MOUNTAIN CHOCOLATE INC,835 W CENTRAL ST # 1,FRANKLIN,MA,Massachusetts,02038,357,3,A
SUPER STOP & SHOP,40 FRANKLIN VILLAGE DR,FRANKLIN,MA,Massachusetts,02038,49400,200,F
STOP & SHOP SUPERMARKET,40 FRANKLIN VILLAGE DR,FRANKLIN,MA,Massachusetts,02038,24700,100,F
ON THE RUN,660 W CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,1568,7,B
DAY & NIGHT,1566 WASHINGTON ST,HOLLISTON,MA,Massachusetts,01746,896,4,A
GAETANO'S BAKERY,74 MAIN ST,MEDWAY,MA,Massachusetts,02053,284,4,A
SHADY OAKS FARM,38 WINTHROP ST,MEDWAY,MA,Massachusetts,02053,115,1,A
COFFEE SENSATIONS,116 MAIN ST,MEDWAY,MA,Massachusetts,02053,1265,11,C
LITTLE STORE,76 HOLLISTON ST,MEDWAY,MA,Massachusetts,02053,448,2,A
DUNKIN' DONUTS,81 MAIN ST # A,MEDWAY,MA,Massachusetts,02053,1120,20,D
STAR MARKET,65 MAIN ST,MEDWAY,MA,Massachusetts,02053,21736,88,E
MEATCUTTER INC,29 GORWIN DR,MEDWAY,MA,Massachusetts,02053,741,3,A
BLUE MOON BAGEL CAFE,236 MAIN ST,MEDFIELD,MA,Massachusetts,02052,1120,20,D
SHAW'S SUPERMARKET,230 MAIN ST,MEDFIELD,MA,Massachusetts,02052,37050,150,F
ISABELLAS GROCERIA,258 MAIN ST,MEDFIELD,MA,Massachusetts,02052,988,4,A
DONUT EXPRESS & CUSTOM CAKES,258 MAIN ST,MEDFIELD,MA,Massachusetts,02052,355,5,B
DUNKIN' DONUTS,270 MAIN ST,MEDFIELD,MA,Massachusetts,02052,280,5,B
DUNKIN' DONUTS,871 MAIN ST,MILLIS,MA,Massachusetts,02054,784,14,C
MAIN STREET MARKET,1066 MAIN ST,MILLIS,MA,Massachusetts,02054,741,3,A
TEDESCHI FOOD SHOPS,127 EXCHANGE ST,MILLIS,MA,Massachusetts,02054,1344,6,B
ROCHE BROS,6 MILLISTON RD,MILLIS,MA,Massachusetts,02054,74100,300,G
DUNKIN' DONUTS,547 E CENTRAL ST,FRANKLIN,MA,Massachusetts,02038,280,5,B
DUNKIN' DONUTS,134 MAIN ST,NORFOLK,MA,Massachusetts,02056,1120,20,D
NORFOLK WATER DEPT,33 MEDWAY BR,NORFOLK,MA,Massachusetts,02056,1725,15,C
NORFOLK FOOD MART,ROCKWOOD RD,NORFOLK,MA,Massachusetts,02056,988,4,A
R D BRETT & SON,32 LAWRENCE ST,NORFOLK,MA,Massachusetts,02056,115,1,A
SUBHAM VARIETY,158 MAIN ST,NORFOLK,MA,Massachusetts,02056,672,3,A
