Name,Address,City,State,State_name,Zip,Sales,Number_emp,Empsiz
ZAC & ANI'S BREAD,11 ELM ST,AMESBURY,MA,Massachusetts,01913,284,4,A
CUMBERLAND FARMS,241 MAIN ST,AMESBURY,MA,Massachusetts,01913,1792,8,B
CUMBERLAND FARMS,132 ELM ST,AMESBURY,MA,Massachusetts,01913,2464,11,C
AMESBURY IRVING MAINWAY,24 ROCKY HILL RD,AMESBURY,MA,Massachusetts,01913,1568,7,B
SUPER STOP & SHOP,100 MACY ST,AMESBURY,MA,Massachusetts,01913,34580,140,F
RICHDALE CONVENIENCE,65 FRIEND ST,AMESBURY,MA,Massachusetts,01913,448,2,A
DUNKIN' DONUTS,80 MACY ST,AMESBURY,MA,Massachusetts,01913,1568,28,D
CARRIAGETOWN CHOCOLATES,86 MAIN ST,AMESBURY,MA,Massachusetts,01913,119,1,A
DONUT MANAGEMENT AMESBURY DNTS,80 MACY ST,AMESBURY,MA,Massachusetts,01913,284,4,A
AMESBURY ONESTOP,108 MACY ST,AMESBURY,MA,Massachusetts,01913,1792,8,B
VERMETTE'S SUPER MARKET,6 POND ST # 2,AMESBURY,MA,Massachusetts,01913,3000,11,C
DUNKIN' DONUTS,192 ELM ST,SALISBURY,MA,Massachusetts,01952,448,8,B
DUNKIN' DONUTS,61 MAIN ST,SALISBURY,MA,Massachusetts,01952,672,12,C
NUTCRACKER BAKERY,12 FEDERAL ST,NEWBURYPORT,MA,Massachusetts,01950,497,7,B
KORNER KITCHEN,12 FEDERAL ST,NEWBURYPORT,MA,Massachusetts,01950,71,1,A
HONEY DEW DONUTS,147 BRIDGE RD,SALISBURY,MA,Massachusetts,01952,448,8,B
DUNKIN' DONUTS,15 LAFAYETTE RD,SALISBURY,MA,Massachusetts,01952,840,15,C
GOURMET PANTRY,160 BEACH RD,SALISBURY,MA,Massachusetts,01952,575,5,B
CHOCOCOA BAKING CO,38 WASHINGTON ST,NEWBURYPORT,MA,Massachusetts,01950,284,4,A
